Airline,Airline ID,Source airport,Destination airport
A5,1203,CFE,AMS
A5,1203,CFE,LYS
A5,1203,CFE,NCE
A5,1203,CFR,LYS
A5,1203,CFR,NCE
A5,1203,CFR,ORY
A5,1203,CLY,NTE
A5,1203,DCM,AGF
A5,1203,DCM,AJA
A5,1203,DCM,ORY
A5,1203,DUS,NTE
A5,1203,ETZ,LYS
A5,1203,ETZ,NCE
A5,1203,FCO,BOD
A5,1203,FCO,LYS
A5,1203,FCO,SXB
A5,1203,FLR,LYS
A5,1203,FSC,LIL
A5,1203,FSC,NTE
A5,1203,GOT,LYS
A5,1203,GVA,BIQ
A5,1203,LAI,ORY
A5,1203,LDE,ORY
A5,1203,LIL,BIA
A5,1203,LIL,BIQ
A5,1203,LIL,BOD
A5,1203,LIL,FSC
A5,1203,LIL,LYS
A5,1203,LIL,MPL
A5,1203,LIL,NTE
A5,1203,LIL,SXB
A5,1203,LIL,TLS
A5,1203,LRH,ORY
A5,1203,LRH,PIS
A5,1203,LRT,ORY
A5,1203,LYS,BES
A5,1203,LYS,BIQ
A5,1203,LYS,BLQ
A5,1203,LYS,BOD
A5,1203,LYS,BRU
A5,1203,LYS,CFE
A5,1203,LYS,CFR
A5,1203,LYS,ETZ
A5,1203,LYS,FCO
A5,1203,LYS,FLR
A5,1203,LYS,GOT
A5,1203,LYS,LIL
A5,1203,LYS,MPL
A5,1203,LYS,MRS
A5,1203,LYS,MXP
A5,1203,LYS,NTE
A5,1203,LYS,PIS
A5,1203,LYS,PRG
A5,1203,LYS,PUF
A5,1203,LYS,RNS
A5,1203,LYS,SXB
A5,1203,LYS,VCE
A5,1203,MPL,LIL
A5,1203,MPL,LYS
A5,1203,MPL,NTE
A5,1203,MPL,SXB
A5,1203,MRS,LYS
A5,1203,MRS,SXB
A5,1203,MRS,TLS
A5,1203,MXP,LYS
A5,1203,MXP,NTE
A5,1203,NCE,BES
A5,1203,NCE,BIQ
A5,1203,NCE,BOD
A5,1203,NCE,CFE
A5,1203,NCE,CFR
A5,1203,NCE,ETZ
A5,1203,NCE,RNS
A5,1203,NCE,TLS
A5,1203,NTE,BOD
A5,1203,NTE,BRU
A5,1203,NTE,CLY
A5,1203,NTE,DUS
A5,1203,NTE,FSC
A5,1203,NTE,LIL
A5,1203,NTE,LYS
A5,1203,NTE,MPL
A5,1203,NTE,MXP
A5,1203,NTE,SXB
A5,1203,NTE,TLS
A5,1203,ORY,AGF
A5,1203,ORY,AUR
A5,1203,ORY,BVE
A5,1203,ORY,CFR
A5,1203,ORY,DCM
A5,1203,ORY,LAI
A5,1203,ORY,LDE
A5,1203,ORY,LRH
A5,1203,ORY,LRT
A5,1203,ORY,PGF
A5,1203,ORY,RDZ
A5,1203,ORY,UIP
A5,1203,PGF,ORY
A5,1203,PIS,AJA
A5,1203,PIS,LRH
A5,1203,PIS,LYS
A5,1203,PRG,LYS
A5,1203,PUF,LYS
A5,1203,RDZ,ORY
A5,1203,RNS,LYS
A5,1203,RNS,NCE
A5,1203,RNS,TLS
A5,1203,SXB,AMS
A5,1203,SXB,BOD
A5,1203,SXB,FCO
A5,1203,SXB,LIL
A5,1203,SXB,LYS
A5,1203,SXB,MPL
A5,1203,SXB,MRS
A5,1203,SXB,NTE
A5,1203,TLS,LIL
A5,1203,TLS,MRS
A5,1203,TLS,NCE
A5,1203,TLS,NTE
A5,1203,TLS,RNS
A5,1203,UIP,ORY
A5,1203,VCE,LYS
AA,24,ABZ,LHR
AA,24,AGP,LHR
AA,24,AMS,LHR
AA,24,ARN,LHR
AA,24,ATH,LHR
AA,24,BCN,LHR
AA,24,BGO,LHR
AA,24,BHD,LHR
AA,24,BLQ,LHR
AA,24,BRU,LHR
AA,24,BSL,LHR
AA,24,BUD,LHR
AA,24,CDG,LHR
AA,24,CPH,LHR
AA,24,DUB,LHR
AA,24,DUS,LHR
AA,24,EDI,LHR
AA,24,FCO,LHR
AA,24,FRA,LHR
AA,24,GIB,LHR
AA,24,GLA,LHR
AA,24,GOT,LHR
AA,24,GVA,LHR
AA,24,HAJ,LHR
AA,24,HAM,LHR
AA,24,HEL,LHR
AA,24,HEL,MAN
AA,24,LBA,LHR
AA,24,LHR,ABZ
AA,24,LHR,AGP
AA,24,LHR,AMS
AA,24,LHR,ARN
AA,24,LHR,ATH
AA,24,LHR,BCN
AA,24,LHR,BGO
AA,24,LHR,BHD
AA,24,LHR,BLQ
AA,24,LHR,BRU
