Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude,Distance
FR,4296,STN,548,XRY,1226,,0,738,51.8849983215,0.234999999404,36.74459838867188,-6.060110092163086,1754.8097899794063
FR,4296,STN,548,ZAD,1209,,0,738,51.8849983215,0.234999999404,44.108299,15.3467,1413.8423708048433
FR,4296,STN,548,ZAZ,1252,,0,738,51.8849983215,0.234999999404,41.66619873046875,-1.0415500402450562,1140.3810567177172
FR,4296,SUF,1508,BGY,1525,,0,738,38.905399,16.2423,45.673901,9.70417,924.3168169666732
FR,4296,SUF,1508,BLQ,1538,,0,738,38.905399,16.2423,44.5354,11.2887,748.619000081419
FR,4296,SUF,1508,CRL,304,,0,738,38.905399,16.2423,50.459202000000005,4.4538199999999994,1583.0483425861075
FR,4296,SUF,1508,FCO,1555,,0,738,38.905399,16.2423,41.8002778,12.2388889,467.55277076390615
FR,4296,SUF,1508,HHN,355,,0,738,38.905399,16.2423,49.9487,7.263889999999999,1417.593435436322
FR,4296,SUF,1508,NRN,4198,,0,738,38.905399,16.2423,51.6024017334,6.14216995239,1614.666979975542
FR,4296,SUF,1508,PSA,1562,,0,738,38.905399,16.2423,43.683899,10.3927,721.5279151203816
FR,4296,SUF,1508,STN,548,,0,738,38.905399,16.2423,51.8849983215,0.234999999404,1900.7152962921036
FR,4296,SUF,1508,TSF,1539,,0,738,38.905399,16.2423,45.648399,12.1944,820.1379976574619
FR,4296,SVQ,1253,BCN,1218,,0,738,37.41799926757813,-5.8931097984313965,41.2971,2.07846,809.2782132244503
FR,4296,SVQ,1253,BGY,1525,,0,738,37.41799926757813,-5.8931097984313965,45.673901,9.70417,1585.3146238022723
FR,4296,SVQ,1253,BLQ,1538,,0,738,37.41799926757813,-5.8931097984313965,44.5354,11.2887,1640.5507635073018
FR,4296,SVQ,1253,BOD,1264,,0,738,37.41799926757813,-5.8931097984313965,44.8283004761,-0.7155560255050001,930.6569366962902
FR,4296,SVQ,1253,BRI,1501,,0,738,37.41799926757813,-5.8931097984313965,41.138901,16.760599,1987.2652659194769
FR,4296,SVQ,1253,BVA,1367,,0,738,37.41799926757813,-5.8931097984313965,49.45439910888672,2.1127800941467285,1484.2947837737793
FR,4296,SVQ,1253,CIA,1553,,0,738,37.41799926757813,-5.8931097984313965,41.7994,12.5949,1653.225751926812
FR,4296,SVQ,1253,CRL,304,,0,738,37.41799926757813,-5.8931097984313965,50.459202000000005,4.4538199999999994,1666.4493034791133
FR,4296,SVQ,1253,DUB,599,,0,738,37.41799926757813,-5.8931097984313965,53.421299,-6.27007,1779.7224428748482
FR,4296,SVQ,1253,EIN,585,,0,738,37.41799926757813,-5.8931097984313965,51.4500999451,5.374529838559999,1793.8951750224307
FR,4296,SVQ,1253,LGW,502,,0,738,37.41799926757813,-5.8931097984313965,51.148102,-0.190278,1591.5585378983576
