Source airport,Destination airport
VIE,MXP
VIE,NCE
VIE,NUE
VIE,OLB
VIE,PMI
VIE,PVK
VIE,RHO
VIE,SKG
VIE,SZG
VIE,TXL
VIE,VLC
VIE,VOL
VIE,ZRH
VIE,ZTH
VLC,PMI
VLC,VIE
VOL,VIE
WAW,TXL
XRY,PMI
ZRH,ALC
ZRH,BDS
ZRH,CTA
ZRH,DUS
ZRH,FNC
ZRH,GWT
ZRH,HEL
ZRH,HER
ZRH,IBZ
ZRH,LCY
ZRH,LHR
ZRH,MAD
ZRH,NAP
ZRH,OLB
ZRH,PMI
ZRH,SUF
ZRH,TXL
ZRH,VIE
ZTH,DUS
ZTH,MUC
ZTH,VIE
AMS,CPH
CPH,AMS
CPH,OSL
CPH,VNO
CPH,WAW
FRA,NAP
FRA,VLC
FRA,VNO
GDN,CPH
MUC,SOF
NAP,FRA
TRD,CPH
VLC,FRA
VNO,CPH
VNO,FRA
WAW,CPH
ABZ,CDG
AGP,CDG
AJA,LGG
AJA,LYS
AJA,MRS
AJA,NCE
AJA,NTE
AJA,ORY
AJA,TLS
AMS,BOD
AMS,BSL
AMS,CDG
AMS,CFE
AMS,LCY
AMS,LYS
AMS,MRS
AMS,NCE
AMS,NTE
AMS,SXB
AMS,TLS
ANR,LCY
ARN,CDG
ATH,CDG
ATH,MRS
ATH,TLS
BCN,CDG
BEG,CDG
BES,CDG
BES,LCY
BES,MRS
BES,ORY
BES,SOU
BHX,CDG
BHX,LYS
BIA,EBU
BIA,LGG
BIA,LYS
BIA,MRS
BIA,NCE
BIA,NTE
BIA,ORY
BIO,CDG
BIQ,GVA
BIQ,MRS
BIQ,ORY
BLL,CDG
BLQ,CDG
BLQ,LYS
BOD,AMS
BOD,CDG
BOD,FCO
BOD,MRS
BOD,NTE
BOD,ORY
BRE,CDG
BRU,LYS
BRU,NTE
BSL,AMS
BSL,CDG
BUD,CDG
BVE,LCY
CDG,ABZ
CDG,AGP
CDG,AMS
CDG,ARN
CDG,ATH
CDG,BCN
CDG,BEG
CDG,BES
CDG,BHX
CDG,BIO
CDG,BLL
CDG,BLQ
CDG,BOD
CDG,BRE
CDG,BSL
CDG,BUD
CDG,CFE
CDG,CLY
CDG,CPH
CDG,DUB
CDG,DUS
CDG,EDI
CDG,EXT
CDG,FCO
CDG,FLR
CDG,FRA
CDG,GOA
CDG,GOT
CDG,GVA
CDG,HAJ
CDG,HAM
CDG,HEL
CDG,KBP
CDG,LHR
CDG,LIN
CDG,LIS
CDG,LJU
CDG,LUX
CDG,LYS
CDG,MAD
CDG,MAN
CDG,MLA
CDG,MPL
CDG,MRS
CDG,MUC
CDG,NAP
