Source Airport IATA,Destination Airport IATA,Source City,Source Country,Destination City,Destination Country,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude,Distance,Estimated Cost
CGN,VCE,Cologne,Germany,Venice,Italy,50.8658981323,7.1427397728,45.505299,12.3519,709.8355360890043,167
CGN,VIE,Cologne,Germany,Vienna,Austria,50.8658981323,7.1427397728,48.110298156738,16.569700241089002,745.9889511619197,175
CGN,VRN,Cologne,Germany,Villafranca,Italy,50.8658981323,7.1427397728,45.395699,10.8885,668.5539981351038,159
CGN,WAW,Cologne,Germany,Warsaw,Poland,50.8658981323,7.1427397728,52.1656990051,20.9671001434,965.9289323157834,219
CGN,XRY,Cologne,Germany,Jerez,Spain,50.8658981323,7.1427397728,36.74459838867188,-6.060110092163086,1887.942410653861,497
CGN,ZAD,Cologne,Germany,Zadar,Croatia,50.8658981323,7.1427397728,44.108299,15.3467,970.7021400487888,220
CGN,ZAG,Cologne,Germany,Zagreb,Croatia,50.8658981323,7.1427397728,45.742900848400005,16.0687999725,870.9157536997376,200
CGN,ZRH,Cologne,Germany,Zurich,Switzerland,50.8658981323,7.1427397728,47.464699,8.54917,391.75684624557147,100
CLY,CGN,Calvi,France,Cologne,Germany,42.52444439999999,8.793055599999999,50.8658981323,7.1427397728,935.9622649344598,213
CTA,CGN,Catania,Italy,Cologne,Germany,37.466801,15.0664,50.8658981323,7.1427397728,1616.1579138575246,430
CTA,DUS,Catania,Italy,Duesseldorf,Germany,37.466801,15.0664,51.289501,6.766780000000001,1670.0090529248314,443
CTA,HAJ,Catania,Italy,Hannover,Germany,37.466801,15.0664,52.461101532,9.68507957458,1718.9937956123283,455
CTA,HAM,Catania,Italy,Hamburg,Germany,37.466801,15.0664,53.630401611328,9.988229751586902,1839.1170632540152,485
CTA,STR,Catania,Italy,Stuttgart,Germany,37.466801,15.0664,48.6898994446,9.22196006775,1334.1650321404718,319
CTA,TXL,Catania,Italy,Berlin,Germany,37.466801,15.0664,52.5597,13.2877,1683.932987905319,446
CWL,DUS,Cardiff,United Kingdom,Duesseldorf,Germany,51.39670181274414,-3.343329906463623,51.289501,6.766780000000001,701.7777363594114,166
DBV,CGN,Dubrovnik,Croatia,Cologne,Germany,42.5614013671875,18.268199920654297,50.8658981323,7.1427397728,1251.1730332839106,301
DBV,DUS,Dubrovnik,Croatia,Duesseldorf,Germany,42.5614013671875,18.268199920654297,51.289501,6.766780000000001,1302.6377200047748,312
DBV,HAJ,Dubrovnik,Croatia,Hannover,Germany,42.5614013671875,18.268199920654297,52.461101532,9.68507957458,1273.639648404538,306
DBV,HAM,Dubrovnik,Croatia,Hamburg,Germany,42.5614013671875,18.268199920654297,53.630401611328,9.988229751586902,1373.7165300701126,328
DBV,STR,Dubrovnik,Croatia,Stuttgart,Germany,42.5614013671875,18.268199920654297,48.6898994446,9.22196006775,978.1478319155184,221
DBV,TXL,Dubrovnik,Croatia,Berlin,Germany,42.5614013671875,18.268199920654297,52.5597,13.2877,1172.1756478909977,283
DRS,CFU,Dresden,Germany,Kerkyra/corfu,Greece,51.1328010559082,13.767200469970703,39.601898193359375,19.911699295043945,1367.8823830096908,326
DRS,CGN,Dresden,Germany,Cologne,Germany,51.1328010559082,13.767200469970703,50.8658981323,7.1427397728,464.3589698540897,114
DRS,DUS,Dresden,Germany,Duesseldorf,Germany,51.1328010559082,13.767200469970703,51.289501,6.766780000000001,487.76347017180046,118
DRS,STR,Dresden,Germany,Stuttgart,Germany,51.1328010559082,13.767200469970703,48.6898994446,9.22196006775,423.7930328654882,106
DTM,HDF,Dortmund,Germany,Heringsdorf,Germany,51.518299102799986,7.61223983765,53.8787002563,14.152299881,512.6440190850309,123
DTM,MUC,Dortmund,Germany,Munich,Germany,51.518299102799986,7.61223983765,48.353802,11.7861,461.42129693754333,113
